latitude,longitude,date,flag,title,place_name,place_url,time_string,signup_url
50.1039,14.3906,2016-09-27,cz,September Prague Mapathon,"National Library of Technology, Prague, Czech Republic",http://www.openstreetmap.org/node/2904943126#map=16/50.1039/14.3906,18:00-20:30,https://www.eventbrite.co.uk/e/missing-maps-czech-republic-zarijovy-mapathon-tickets-27882570519
53.4035,-2.965,2016-10-03,gb,Missing Maps Liverpool,"School of Arts, University of Liverpool, Liverpool, United Kingdom",http://www.openstreetmap.org/way/274228064#map=16/53.4035/-2.9650,13:00-16:30,https://www.eventbrite.co.uk/e/mapping-party-tickets-27724810655
51.52734,-0.08218,2016-10-04,gb,Missing Maps London October Mapathon,"Aviva Digital Garage, London, United Kingdom",http://www.openstreetmap.org/#map=19/51.52734/-0.08218,18:00-21:00,https://www.eventbrite.co.uk/e/missing-mapshot-october-mapathon-tickets-27676086921
48.87241,2.36497,2016-10-04,fr,Paris Missing Maps mapathon,"La Ruche Canal, Paris, France",http://www.openstreetmap.org/way/63196894,18:30-21:30,https://www.eventbrite.fr/e/billets-missing-maps-paris-6-27935030428
50.7369,-3.5377,2016-10-04,gb,University of Exeter Mapathon,"University of Exeter (Forum Exploration Lab 1), Exeter, United Kingdom",http://www.openstreetmap.org/way/19989374,18:00-20:00,https://www.facebook.com/events/625693110944498/
63.4317,10.35508,2016-10-05,no,IUG Mapping Community,"Rambøll, Trondheim, Norway",http://www.openstreetmap.org/node/2958725083,17:00-19:30,https://www.eventbrite.com/e/mapathon-med-iug-trndelag-og-rambll-tickets-27664354830?aff=es2
38.89919,-77.04841,2016-10-12,us,HMS GW Missing Maps Mapathon,"Gelman Library, George Washington University",http://www.openstreetmap.org/way/66409261#map=19/38.89924/-77.04811,19:00-21:00,https://www.eventbrite.com/e/gwu-humanitarian-mapping-society-missing-maps-october-mapathon-tickets-28339524280
60.20441,24.96254,2016-10-14,fi,Missing Maps @ Kehyviikko,"Kumpula campus, Helsinki, Finland",http://www.openstreetmap.org/way/38934810#map=17/60.20441/24.96254&layers=C,16:00-19:00,https://www.facebook.com/events/1779744158954674/
45.56386,5.92665,2016-10-18,fr,GeOnG Mapathon,"Congress Centre ""Le Manège"", Chambéry, France",http://www.openstreetmap.org/way/110566749,17:15-19:00,https://www.eventbrite.fr/e/billets-missing-maps-geong-28356388722
40.42828,-104.68966,2016-10-20,us,University of Northern Colorado Humanitarian Mapathon,"Weldwerks Brewing Co., Greeley, Colorado US",http://www.openstreetmap.org/way/397126693#map=19/40.42828/-104.68966,17:00-19:00,http://www.meetup.com/OSM-Colorado/events/233385676/
40.80751,-73.96011,2016-10-22,us,Missing Maps,"Columbia University International Affairs Building, New York, United States",http://www.openstreetmap.org/#map=19/40.80751/-73.96011,12:00-14:00,https://www.facebook.com/events/1670691366577713/
58.93886,5.69334,2016-10-25,no,Missing Maps Mapathon,"UIS, Ivar Langens hus, Stavanger, Norway",http://www.openstreetmap.org/#map=19/58.93886/5.69334,17:00-21:00,https://www.facebook.com/events/1796518753939059/
51.22181,4.41457,2016-10-26,be,Missing Maps Antwerp,"IPIS research, 98A Italiëlei, Antwerp, Belgium",https://www.openstreetmap.org/way/378681739,17:00-21:30,https://www.eventbrite.com/e/missing-maps-ipis-tickets-28289130551
41.31417,-105.58063,2016-10-26,us,U of Wyoming Humanitarian Mapathon,"WyGISC's Computer Labs, Agriculture Building C, Room 316",http://www.openstreetmap.org/relation/6010069,18:00-20:00,http://www.meetup.com/OSM-Wyoming/events/234443100/
57.70574,11.98382,2016-10-26,se,GIS-väst pub med Sweco och Missing Maps,"Sweco office, Göteborg, Göteborg, Sweden",http://www.openstreetmap.org/way/441573056,16:00-21:00,http://www.gisvast.se/gis-vast-pub-med-sweco-2610/
40.57466,-105.08498,2016-10-27,us,Colorado State University Humanitarian Mapathon,"Ramskeller, Lory Student Center, CSU Campus",https://www.openstreetmap.org/node/3843990703,17:00-19:00,http://www.meetup.com/OSM-Colorado/events/234643748/
48.94558,2.36254,2016-10-27,fr,Missing Maps St Denis,"Université Paris 8, Paris, France",http://www.openstreetmap.org/way/31244195,18:30-21:00,https://www.eventbrite.fr/e/billets-missing-maps-saint-denis-28602298244
43.31646,-1.97556,2016-10-29,es,Missing Maps Donostia,"Tabakalera, San Sebastian, San Sebastian, Spain",http://www.openstreetmap.org/search?query=spain#map=18/43.31646/-1.97556,17:00-21:00,https://www.tabakalera.eu/es/mapathon-missing-maps
51.52174,-0.13796,2016-11-01,gb,Missing Maps 2 Year Anniversary Mapathon,"Arup, London, United Kingdom",http://www.openstreetmap.org/#map=19/51.52174/-0.13796,18:00-21:00,https://www.eventbrite.co.uk/e/missing-maps-2-year-anniversary-mapathon-tickets-28651384061
27.2867,91.5237,2016-11-01,bt,#100mapathons Department of Geography & Planning || YouthMappers Mapathon,"Department of Geography & Planning, Kanglung, Bhutan",http://www.openstreetmap.org/search?query=27.2867114%2C91.5236878#map=15/27.2867/91.5237,8:30-10:30,n/a
40.432,-86.9382,2016-11-02,us,Zeta Theta Map-A-Thon,"Krannert Building - Purdue University, West Lafayette, IN, United States",http://www.openstreetmap.org/#map=14/40.4320/-86.9382,6:13-8:30,https://goo.gl/forms/lcRwMSz31YOD3F5i1
